1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: BE0000007FF63841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Thu Jan 18 11:18:01 SGT 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 24 05:28:01 SGT 2024
Total Mission Samples:  5754
Total Device Samples:  7571
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/24/24 8:33:01 PM,C,27.521
1/24/24 8:38:01 PM,C,27.521
1/24/24 8:43:01 PM,C,27.583
1/24/24 8:48:01 PM,C,27.583
1/24/24 8:53:01 PM,C,27.646
1/24/24 8:58:01 PM,C,27.646
1/24/24 9:03:01 PM,C,27.646
1/24/24 9:08:01 PM,C,27.646
1/24/24 9:13:01 PM,C,27.646
1/24/24 9:18:01 PM,C,27.646
1/24/24 9:23:01 PM,C,27.646
1/24/24 9:28:01 PM,C,27.646
1/24/24 9:33:01 PM,C,27.708
1/24/24 9:38:01 PM,C,27.708
1/24/24 9:43:01 PM,C,27.708
1/24/24 9:48:01 PM,C,27.708
1/24/24 9:53:01 PM,C,27.646
1/24/24 9:58:01 PM,C,27.646
1/24/24 10:03:01 PM,C,27.833
1/24/24 10:08:01 PM,C,27.833
1/24/24 10:13:01 PM,C,27.833
1/24/24 10:18:01 PM,C,27.833
1/24/24 10:23:01 PM,C,27.771
1/24/24 10:28:01 PM,C,27.771
1/24/24 10:33:01 PM,C,27.771
1/24/24 10:38:01 PM,C,27.771
1/24/24 10:43:01 PM,C,27.771
1/24/24 10:48:01 PM,C,27.771
1/24/24 10:53:01 PM,C,27.771
1/24/24 10:58:01 PM,C,27.771
1/24/24 11:03:01 PM,C,27.771
1/24/24 11:08:01 PM,C,27.771
1/24/24 11:13:01 PM,C,27.771
1/24/24 11:18:01 PM,C,27.771
1/24/24 11:23:01 PM,C,27.771
1/24/24 11:28:01 PM,C,27.771
1/24/24 11:33:01 PM,C,27.771
1/24/24 11:38:01 PM,C,27.771
1/24/24 11:43:01 PM,C,27.771
1/24/24 11:48:01 PM,C,27.771
1/24/24 11:53:01 PM,C,27.771
1/24/24 11:58:01 PM,C,27.708
1/25/24 12:03:01 AM,C,27.708
1/25/24 12:08:01 AM,C,27.708
1/25/24 12:13:01 AM,C,27.708
1/25/24 12:18:01 AM,C,27.708
1/25/24 12:23:01 AM,C,27.708
1/25/24 12:28:01 AM,C,27.708
1/25/24 12:33:01 AM,C,27.708
1/25/24 12:38:01 AM,C,27.708
1/25/24 12:43:01 AM,C,27.708
1/25/24 12:48:01 AM,C,27.708
1/25/24 12:53:01 AM,C,27.708
1/25/24 12:58:01 AM,C,27.708
1/25/24 1:03:01 AM,C,27.708
1/25/24 1:08:01 AM,C,27.646
1/25/24 1:13:01 AM,C,27.646
1/25/24 1:18:01 AM,C,27.646
1/25/24 1:23:01 AM,C,27.646
1/25/24 1:28:01 AM,C,27.646
1/25/24 1:33:01 AM,C,27.646
1/25/24 1:38:01 AM,C,27.646
1/25/24 1:43:01 AM,C,27.646
1/25/24 1:48:01 AM,C,27.646
1/25/24 1:53:01 AM,C,27.646
1/25/24 1:58:01 AM,C,27.646
1/25/24 2:03:01 AM,C,27.646
1/25/24 2:08:01 AM,C,27.646
1/25/24 2:13:01 AM,C,27.646
1/25/24 2:18:01 AM,C,27.646
1/25/24 2:23:01 AM,C,27.646
1/25/24 2:28:01 AM,C,27.646
1/25/24 2:33:01 AM,C,27.646
1/25/24 2:38:01 AM,C,27.646
1/25/24 2:43:01 AM,C,27.646
1/25/24 2:48:01 AM,C,27.646
1/25/24 2:53:01 AM,C,27.583
1/25/24 2:58:01 AM,C,27.583
1/25/24 3:03:01 AM,C,27.583
1/25/24 3:08:01 AM,C,27.583
1/25/24 3:13:01 AM,C,27.583
1/25/24 3:18:01 AM,C,27.583
1/25/24 3:23:01 AM,C,27.583
1/25/24 3:28:01 AM,C,27.583
1/25/24 3:33:01 AM,C,27.583
1/25/24 3:38:01 AM,C,27.583
1/25/24 3:43:01 AM,C,27.583
1/25/24 3:48:01 AM,C,27.583
1/25/24 3:53:01 AM,C,27.583
1/25/24 3:58:01 AM,C,27.583
1/25/24 4:03:01 AM,C,27.583
1/25/24 4:08:01 AM,C,27.583
1/25/24 4:13:01 AM,C,27.583
1/25/24 4:18:01 AM,C,27.583
1/25/24 4:23:01 AM,C,27.583
1/25/24 4:28:01 AM,C,27.583
1/25/24 4:33:01 AM,C,27.521
1/25/24 4:38:01 AM,C,27.521
1/25/24 4:43:01 AM,C,27.521
1/25/24 4:48:01 AM,C,27.521
1/25/24 4:53:01 AM,C,27.521
1/25/24 4:58:01 AM,C,27.521
1/25/24 5:03:01 AM,C,27.521
1/25/24 5:08:01 AM,C,27.521
1/25/24 5:13:01 AM,C,27.521
1/25/24 5:18:01 AM,C,27.521
1/25/24 5:23:01 AM,C,27.521
1/25/24 5:28:01 AM,C,27.521
1/25/24 5:33:01 AM,C,27.521
1/25/24 5:38:01 AM,C,27.521
1/25/24 5:43:01 AM,C,27.521
1/25/24 5:48:01 AM,C,27.521
1/25/24 5:53:01 AM,C,27.521
1/25/24 5:58:01 AM,C,27.521
1/25/24 6:03:01 AM,C,27.521
1/25/24 6:08:01 AM,C,27.521
1/25/24 6:13:01 AM,C,27.521
1/25/24 6:18:01 AM,C,27.521
1/25/24 6:23:01 AM,C,27.521
1/25/24 6:28:01 AM,C,27.521
1/25/24 6:33:01 AM,C,27.521
1/25/24 6:38:01 AM,C,27.521
1/25/24 6:43:01 AM,C,27.521
1/25/24 6:48:01 AM,C,27.521
1/25/24 6:53:01 AM,C,27.521
1/25/24 6:58:01 AM,C,27.521
1/25/24 7:03:01 AM,C,27.521
1/25/24 7:08:01 AM,C,27.521
1/25/24 7:13:01 AM,C,27.521
1/25/24 7:18:01 AM,C,27.521
1/25/24 7:23:01 AM,C,27.521
1/25/24 7:28:01 AM,C,27.521
1/25/24 7:33:01 AM,C,27.521
1/25/24 7:38:01 AM,C,27.521
1/25/24 7:43:01 AM,C,27.521
1/25/24 7:48:01 AM,C,27.521
1/25/24 7:53:01 AM,C,27.521
1/25/24 7:58:01 AM,C,27.521
1/25/24 8:03:01 AM,C,27.521
1/25/24 8:08:01 AM,C,27.521
1/25/24 8:13:01 AM,C,27.521
1/25/24 8:18:01 AM,C,27.521
1/25/24 8:23:01 AM,C,27.521
1/25/24 8:28:01 AM,C,27.521
1/25/24 8:33:01 AM,C,27.521
1/25/24 8:38:01 AM,C,27.583
1/25/24 8:43:01 AM,C,27.583
1/25/24 8:48:01 AM,C,27.583
1/25/24 8:53:01 AM,C,27.583
1/25/24 8:58:01 AM,C,27.583
1/25/24 9:03:01 AM,C,27.583
1/25/24 9:08:01 AM,C,27.646
1/25/24 9:13:01 AM,C,27.646
1/25/24 9:18:01 AM,C,27.646
1/25/24 9:23:01 AM,C,27.646
1/25/24 9:28:01 AM,C,27.646
1/25/24 9:33:01 AM,C,27.708
1/25/24 9:38:01 AM,C,27.708
1/25/24 9:43:01 AM,C,27.708
1/25/24 9:48:01 AM,C,27.708
1/25/24 9:53:01 AM,C,27.771
1/25/24 9:58:01 AM,C,27.771
1/25/24 10:03:01 AM,C,27.771
1/25/24 10:08:01 AM,C,32.08
1/25/24 10:13:01 AM,C,32.33
1/25/24 10:18:01 AM,C,31.705
1/25/24 10:23:01 AM,C,31.893
1/25/24 10:28:01 AM,C,32.517
1/25/24 10:33:01 AM,C,32.954
1/25/24 10:38:01 AM,C,33.328
1/25/24 10:43:01 AM,C,32.767
1/25/24 10:48:01 AM,C,32.891
1/25/24 10:53:01 AM,C,33.141
1/25/24 10:58:01 AM,C,32.829
1/25/24 11:03:01 AM,C,32.767
1/25/24 11:08:01 AM,C,33.141
1/25/24 11:13:01 AM,C,30.956
1/25/24 11:18:01 AM,C,31.83
1/25/24 11:23:01 AM,C,32.579
1/25/24 11:28:01 AM,C,32.392
1/25/24 11:33:01 AM,C,33.016
1/25/24 11:38:01 AM,C,32.954
1/25/24 11:43:01 AM,C,33.141
1/25/24 11:48:01 AM,C,33.953
1/25/24 11:53:01 AM,C,33.703
1/25/24 11:58:01 AM,C,33.703
1/25/24 12:03:01 PM,C,33.828
1/25/24 12:08:01 PM,C,33.765
1/25/24 12:13:01 PM,C,33.391
1/25/24 12:18:01 PM,C,33.453
1/25/24 12:23:01 PM,C,33.516
1/25/24 12:28:01 PM,C,33.516
1/25/24 12:33:01 PM,C,33.703
1/25/24 12:38:01 PM,C,33.266
1/25/24 12:43:01 PM,C,32.704
1/25/24 12:48:01 PM,C,28.521
1/25/24 12:53:01 PM,C,28.083
1/25/24 12:58:01 PM,C,32.267
1/25/24 1:03:01 PM,C,33.016
1/25/24 1:08:01 PM,C,33.328
1/25/24 1:13:01 PM,C,33.516
1/25/24 1:18:01 PM,C,33.016
1/25/24 1:23:01 PM,C,33.016
1/25/24 1:28:01 PM,C,32.891
1/25/24 1:33:01 PM,C,32.704
1/25/24 1:38:01 PM,C,33.016
1/25/24 1:43:01 PM,C,33.016
1/25/24 1:48:01 PM,C,33.016
1/25/24 1:53:01 PM,C,32.829
1/25/24 1:58:01 PM,C,32.579
1/25/24 2:03:01 PM,C,32.33
1/25/24 2:08:01 PM,C,32.018
1/25/24 2:13:01 PM,C,31.768
1/25/24 2:18:01 PM,C,31.581
1/25/24 2:23:01 PM,C,31.581
1/25/24 2:28:01 PM,C,31.643
1/25/24 2:33:01 PM,C,28.333
1/25/24 2:38:01 PM,C,26.209
1/25/24 2:43:01 PM,C,25.084
1/25/24 2:48:01 PM,C,24.334
1/25/24 2:53:01 PM,C,23.834
1/25/24 2:58:01 PM,C,23.584
1/25/24 3:03:01 PM,C,23.396
1/25/24 3:08:01 PM,C,23.334
1/25/24 3:13:01 PM,C,23.209
1/25/24 3:18:01 PM,C,23.146
1/25/24 3:23:01 PM,C,23.021
1/25/24 3:28:01 PM,C,23.084
1/25/24 3:33:01 PM,C,23.084
1/25/24 3:38:01 PM,C,23.084
1/25/24 3:43:01 PM,C,23.084
1/25/24 3:48:01 PM,C,23.021
1/25/24 3:53:01 PM,C,23.021
1/25/24 3:58:01 PM,C,23.084
1/25/24 4:03:01 PM,C,23.146
1/25/24 4:08:01 PM,C,23.209
1/25/24 4:13:01 PM,C,23.271
1/25/24 4:18:01 PM,C,23.271
1/25/24 4:23:01 PM,C,23.271
1/25/24 4:28:01 PM,C,23.271
1/25/24 4:33:01 PM,C,23.271
1/25/24 4:38:01 PM,C,23.271
1/25/24 4:43:01 PM,C,23.271
1/25/24 4:48:01 PM,C,23.021
1/25/24 4:53:01 PM,C,22.896
1/25/24 4:58:01 PM,C,22.834
1/25/24 5:03:01 PM,C,22.646
1/25/24 5:08:01 PM,C,22.521
1/25/24 5:13:01 PM,C,22.583
1/25/24 5:18:01 PM,C,22.646
1/25/24 5:23:01 PM,C,22.646
1/25/24 5:28:01 PM,C,22.458
1/25/24 5:33:01 PM,C,22.396
1/25/24 5:38:01 PM,C,22.333
1/25/24 5:43:01 PM,C,22.271
1/25/24 5:48:01 PM,C,22.208
1/25/24 5:53:01 PM,C,22.208
1/25/24 5:58:01 PM,C,22.146
1/25/24 6:03:01 PM,C,22.083
1/25/24 6:08:01 PM,C,26.209
1/25/24 6:13:01 PM,C,29.52
1/25/24 6:18:01 PM,C,30.457
1/25/24 6:23:01 PM,C,31.456
1/25/24 6:28:01 PM,C,31.643
1/25/24 6:33:01 PM,C,32.205
1/25/24 6:38:01 PM,C,32.33
1/25/24 6:43:01 PM,C,32.829
1/25/24 6:48:01 PM,C,33.016
1/25/24 6:53:01 PM,C,33.141
1/25/24 6:58:01 PM,C,32.829
1/25/24 7:03:01 PM,C,31.955
1/25/24 7:08:01 PM,C,30.956
1/25/24 7:13:01 PM,C,31.268
1/25/24 7:18:01 PM,C,31.955
1/25/24 7:23:01 PM,C,31.456
1/25/24 7:28:01 PM,C,31.019
1/25/24 7:33:01 PM,C,30.956
1/25/24 7:38:01 PM,C,30.894
1/25/24 7:43:01 PM,C,30.894
1/25/24 7:48:01 PM,C,30.956
1/25/24 7:53:01 PM,C,31.019
1/25/24 7:58:01 PM,C,31.081
1/25/24 8:03:01 PM,C,31.081
1/25/24 8:08:01 PM,C,31.643
1/25/24 8:13:01 PM,C,29.957
1/25/24 8:18:01 PM,C,30.394
1/25/24 8:23:01 PM,C,30.269
1/25/24 8:28:01 PM,C,24.209
1/25/24 8:33:01 PM,C,22.208
1/25/24 8:38:01 PM,C,21.395
1/25/24 8:43:01 PM,C,20.958
1/25/24 8:48:01 PM,C,20.77
1/25/24 8:53:01 PM,C,20.645
1/25/24 8:58:01 PM,C,20.27
1/25/24 9:03:01 PM,C,20.144
1/25/24 9:08:01 PM,C,20.082
1/25/24 9:13:01 PM,C,20.207
1/25/24 9:18:01 PM,C,20.207
1/25/24 9:23:01 PM,C,20.144
1/25/24 9:28:01 PM,C,20.144
1/25/24 9:33:01 PM,C,20.082
1/25/24 9:38:01 PM,C,20.082
1/25/24 9:43:01 PM,C,20.082
1/25/24 9:48:01 PM,C,20.082
1/25/24 9:53:01 PM,C,20.019
1/25/24 9:58:01 PM,C,20.019
1/25/24 10:03:01 PM,C,24.146
1/25/24 10:08:01 PM,C,26.396
1/25/24 10:13:01 PM,C,26.896
1/25/24 10:18:01 PM,C,27.146
1/25/24 10:23:01 PM,C,27.271
1/25/24 10:28:01 PM,C,27.396
1/25/24 10:33:01 PM,C,27.583
1/25/24 10:38:01 PM,C,27.521
1/25/24 10:43:01 PM,C,27.521
1/25/24 10:48:01 PM,C,27.459
1/25/24 10:53:01 PM,C,27.583
1/25/24 10:58:01 PM,C,27.583
1/25/24 11:03:01 PM,C,27.396
1/25/24 11:08:01 PM,C,27.334
1/25/24 11:13:01 PM,C,27.334
1/25/24 11:18:01 PM,C,27.334
1/25/24 11:23:01 PM,C,27.271
1/25/24 11:28:01 PM,C,27.271
1/25/24 11:33:01 PM,C,27.271
1/25/24 11:38:01 PM,C,27.271
1/25/24 11:43:01 PM,C,27.209
1/25/24 11:48:01 PM,C,27.209
1/25/24 11:53:01 PM,C,27.271
1/25/24 11:58:01 PM,C,27.209
1/26/24 12:03:01 AM,C,27.209
1/26/24 12:08:01 AM,C,27.209
1/26/24 12:13:01 AM,C,27.209
1/26/24 12:18:01 AM,C,27.209
1/26/24 12:23:01 AM,C,27.209
1/26/24 12:28:01 AM,C,27.146
1/26/24 12:33:01 AM,C,27.146
1/26/24 12:38:01 AM,C,27.146
1/26/24 12:43:01 AM,C,27.146
1/26/24 12:48:01 AM,C,27.146
1/26/24 12:53:01 AM,C,27.209
1/26/24 12:58:01 AM,C,27.209
1/26/24 1:03:01 AM,C,27.209
1/26/24 1:08:01 AM,C,27.146
1/26/24 1:13:01 AM,C,27.146
1/26/24 1:18:01 AM,C,27.146
1/26/24 1:23:01 AM,C,27.146
1/26/24 1:28:01 AM,C,27.146
1/26/24 1:33:01 AM,C,27.146
1/26/24 1:38:01 AM,C,27.146
1/26/24 1:43:01 AM,C,27.146
1/26/24 1:48:01 AM,C,27.209
1/26/24 1:53:01 AM,C,27.396
1/26/24 1:58:01 AM,C,27.396
1/26/24 2:03:01 AM,C,27.459
1/26/24 2:08:01 AM,C,27.459
1/26/24 2:13:01 AM,C,27.459
1/26/24 2:18:01 AM,C,27.459
1/26/24 2:23:01 AM,C,27.459
1/26/24 2:28:01 AM,C,27.459
1/26/24 2:33:01 AM,C,27.459
1/26/24 2:38:01 AM,C,27.521
1/26/24 2:43:01 AM,C,27.459
