1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A00000007FF3A441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Thu Jan 18 09:25:01 SGT 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jan 30 09:45:01 SGT 2024
Total Mission Samples:  7556
Total Device Samples:  9373
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/30/24 9:05:01 PM,C,29.653
1/30/24 9:10:01 PM,C,29.715
1/30/24 9:15:01 PM,C,29.653
1/30/24 9:20:01 PM,C,29.653
1/30/24 9:25:01 PM,C,29.715
1/30/24 9:30:01 PM,C,29.653
1/30/24 9:35:01 PM,C,29.653
1/30/24 9:40:01 PM,C,29.59
1/30/24 9:45:01 PM,C,29.528
1/30/24 9:50:01 PM,C,29.528
1/30/24 9:55:01 PM,C,29.778
1/30/24 10:00:01 PM,C,29.84
1/30/24 10:05:01 PM,C,29.715
1/30/24 10:10:01 PM,C,29.778
1/30/24 10:15:01 PM,C,29.778
1/30/24 10:20:01 PM,C,29.778
1/30/24 10:25:01 PM,C,29.653
1/30/24 10:30:01 PM,C,29.59
1/30/24 10:35:01 PM,C,29.59
1/30/24 10:40:01 PM,C,29.59
1/30/24 10:45:01 PM,C,29.59
1/30/24 10:50:01 PM,C,29.653
1/30/24 10:55:01 PM,C,29.59
1/30/24 11:00:01 PM,C,29.653
1/30/24 11:05:01 PM,C,29.528
1/30/24 11:10:01 PM,C,29.278
1/30/24 11:15:01 PM,C,29.153
1/30/24 11:20:01 PM,C,29.091
1/30/24 11:25:01 PM,C,29.028
1/30/24 11:30:01 PM,C,29.028
1/30/24 11:35:01 PM,C,29.028
1/30/24 11:40:01 PM,C,28.966
1/30/24 11:45:01 PM,C,28.966
1/30/24 11:50:01 PM,C,28.966
1/30/24 11:55:01 PM,C,28.966
1/31/24 12:00:01 AM,C,28.966
1/31/24 12:05:01 AM,C,28.903
1/31/24 12:10:01 AM,C,28.903
1/31/24 12:15:01 AM,C,28.966
1/31/24 12:20:01 AM,C,28.903
1/31/24 12:25:01 AM,C,28.903
1/31/24 12:30:01 AM,C,28.841
1/31/24 12:35:01 AM,C,28.841
1/31/24 12:40:01 AM,C,28.841
1/31/24 12:45:01 AM,C,28.841
1/31/24 12:50:01 AM,C,28.841
1/31/24 12:55:01 AM,C,28.841
1/31/24 1:00:01 AM,C,28.841
1/31/24 1:05:01 AM,C,29.028
1/31/24 1:10:01 AM,C,29.153
1/31/24 1:15:01 AM,C,29.153
1/31/24 1:20:01 AM,C,29.216
1/31/24 1:25:01 AM,C,29.216
1/31/24 1:30:01 AM,C,29.278
1/31/24 1:35:01 AM,C,29.278
1/31/24 1:40:01 AM,C,29.028
1/31/24 1:45:01 AM,C,28.903
1/31/24 1:50:01 AM,C,28.841
1/31/24 1:55:01 AM,C,28.778
1/31/24 2:00:01 AM,C,28.716
1/31/24 2:05:01 AM,C,28.716
1/31/24 2:10:01 AM,C,28.653
1/31/24 2:15:01 AM,C,28.716
1/31/24 2:20:01 AM,C,28.778
1/31/24 2:25:01 AM,C,30.277
1/31/24 2:30:01 AM,C,31.401
1/31/24 2:35:01 AM,C,33.212
1/31/24 2:40:01 AM,C,33.087
1/31/24 2:45:01 AM,C,33.15
1/31/24 2:50:01 AM,C,33.212
1/31/24 2:55:01 AM,C,33.212
1/31/24 3:00:01 AM,C,33.275
1/31/24 3:05:01 AM,C,33.275
1/31/24 3:10:01 AM,C,33.337
1/31/24 3:15:01 AM,C,33.712
1/31/24 3:20:01 AM,C,33.15
1/31/24 3:25:01 AM,C,32.838
1/31/24 3:30:01 AM,C,32.775
1/31/24 3:35:01 AM,C,33.087
1/31/24 3:40:01 AM,C,33.275
1/31/24 3:45:01 AM,C,32.9
1/31/24 3:50:01 AM,C,32.775
1/31/24 3:55:01 AM,C,32.838
1/31/24 4:00:01 AM,C,32.9
1/31/24 4:05:01 AM,C,32.9
1/31/24 4:10:01 AM,C,32.9
1/31/24 4:15:01 AM,C,32.962
1/31/24 4:20:01 AM,C,32.962
1/31/24 4:25:01 AM,C,32.962
1/31/24 4:30:01 AM,C,33.025
1/31/24 4:35:01 AM,C,33.087
1/31/24 4:40:01 AM,C,33.15
1/31/24 4:45:01 AM,C,33.212
1/31/24 4:50:01 AM,C,33.275
1/31/24 4:55:01 AM,C,33.275
1/31/24 5:00:01 AM,C,33.212
1/31/24 5:05:01 AM,C,33.462
1/31/24 5:10:01 AM,C,33.649
1/31/24 5:15:01 AM,C,33.774
1/31/24 5:20:01 AM,C,33.524
1/31/24 5:25:01 AM,C,33.212
1/31/24 5:30:01 AM,C,33.025
1/31/24 5:35:01 AM,C,32.65
1/31/24 5:40:01 AM,C,32.525
1/31/24 5:45:01 AM,C,32.525
1/31/24 5:50:01 AM,C,32.588
1/31/24 5:55:01 AM,C,33.15
1/31/24 6:00:01 AM,C,33.587
1/31/24 6:05:01 AM,C,33.712
1/31/24 6:10:01 AM,C,33.836
1/31/24 6:15:01 AM,C,33.899
1/31/24 6:20:01 AM,C,33.961
1/31/24 6:25:01 AM,C,33.961
1/31/24 6:30:01 AM,C,33.961
1/31/24 6:35:01 AM,C,33.836
1/31/24 6:40:01 AM,C,33.899
1/31/24 6:45:01 AM,C,33.899
1/31/24 6:50:01 AM,C,33.337
1/31/24 6:55:01 AM,C,33.025
1/31/24 7:00:01 AM,C,32.65
1/31/24 7:05:01 AM,C,32.713
1/31/24 7:10:01 AM,C,32.713
1/31/24 7:15:01 AM,C,32.588
1/31/24 7:20:01 AM,C,32.65
1/31/24 7:25:01 AM,C,31.963
1/31/24 7:30:01 AM,C,32.213
1/31/24 7:35:01 AM,C,30.902
1/31/24 7:40:01 AM,C,30.714
1/31/24 7:45:01 AM,C,32.4
1/31/24 7:50:01 AM,C,31.277
1/31/24 7:55:01 AM,C,31.214
1/31/24 8:00:01 AM,C,31.214
1/31/24 8:05:01 AM,C,31.589
1/31/24 8:10:01 AM,C,31.651
1/31/24 8:15:01 AM,C,31.776
1/31/24 8:20:01 AM,C,32.026
1/31/24 8:25:01 AM,C,32.338
1/31/24 8:30:01 AM,C,32.088
1/31/24 8:35:01 AM,C,31.839
1/31/24 8:40:01 AM,C,30.465
1/31/24 8:45:01 AM,C,29.465
1/31/24 8:50:01 AM,C,30.152
1/31/24 8:55:01 AM,C,31.027
1/31/24 9:00:01 AM,C,31.651
1/31/24 9:05:01 AM,C,31.339
1/31/24 9:10:01 AM,C,26.717
1/31/24 9:15:01 AM,C,25.654
1/31/24 9:20:01 AM,C,25.279
1/31/24 9:25:01 AM,C,30.152
1/31/24 9:30:01 AM,C,31.339
1/31/24 9:35:01 AM,C,31.776
1/31/24 9:40:01 AM,C,32.151
1/31/24 9:45:01 AM,C,32.151
1/31/24 9:50:01 AM,C,32.4
1/31/24 9:55:01 AM,C,32.4
1/31/24 10:00:01 AM,C,32.4
1/31/24 10:05:01 AM,C,32.4
1/31/24 10:10:01 AM,C,32.9
1/31/24 10:15:01 AM,C,33.462
1/31/24 10:20:01 AM,C,33.836
1/31/24 10:25:01 AM,C,33.712
1/31/24 10:30:01 AM,C,33.899
1/31/24 10:35:01 AM,C,34.211
1/31/24 10:40:01 AM,C,34.336
1/31/24 10:45:01 AM,C,34.71
1/31/24 10:50:01 AM,C,31.089
1/31/24 10:55:01 AM,C,29.091
1/31/24 11:00:01 AM,C,28.091
1/31/24 11:05:01 AM,C,27.529
1/31/24 11:10:01 AM,C,27.216
1/31/24 11:15:01 AM,C,27.029
1/31/24 11:20:01 AM,C,26.842
1/31/24 11:25:01 AM,C,26.904
1/31/24 11:30:01 AM,C,27.154
1/31/24 11:35:01 AM,C,27.216
1/31/24 11:40:01 AM,C,27.279
1/31/24 11:45:01 AM,C,27.279
1/31/24 11:50:01 AM,C,27.404
1/31/24 11:55:01 AM,C,27.404
1/31/24 12:00:01 PM,C,27.529
1/31/24 12:05:01 PM,C,27.466
1/31/24 12:10:01 PM,C,27.404
1/31/24 12:15:01 PM,C,27.341
1/31/24 12:20:01 PM,C,31.027
1/31/24 12:25:01 PM,C,32.276
1/31/24 12:30:01 PM,C,32.838
1/31/24 12:35:01 PM,C,33.025
1/31/24 12:40:01 PM,C,32.525
1/31/24 12:45:01 PM,C,31.901
1/31/24 12:50:01 PM,C,31.901
1/31/24 12:55:01 PM,C,31.776
1/31/24 1:00:01 PM,C,31.214
1/31/24 1:05:01 PM,C,31.214
1/31/24 1:10:01 PM,C,31.901
1/31/24 1:15:01 PM,C,32.962
1/31/24 1:20:01 PM,C,32.713
1/31/24 1:25:01 PM,C,32.962
1/31/24 1:30:01 PM,C,32.588
1/31/24 1:35:01 PM,C,32.775
1/31/24 1:40:01 PM,C,32.838
1/31/24 1:45:01 PM,C,33.15
1/31/24 1:50:01 PM,C,33.399
1/31/24 1:55:01 PM,C,33.275
1/31/24 2:00:01 PM,C,33.087
1/31/24 2:05:01 PM,C,32.838
1/31/24 2:10:01 PM,C,32.962
1/31/24 2:15:01 PM,C,33.087
1/31/24 2:20:01 PM,C,32.463
1/31/24 2:25:01 PM,C,29.403
1/31/24 2:30:01 PM,C,28.341
1/31/24 2:35:01 PM,C,28.279
1/31/24 2:40:01 PM,C,27.654
1/31/24 2:45:01 PM,C,27.404
1/31/24 2:50:01 PM,C,27.216
1/31/24 2:55:01 PM,C,27.091
